idx,filename,abs_path,class_id,class_name,split,common_name
1,image_00001.jpg,\\pub.mme.dongguk.edu\home\2019113634\Documents\GitHub\2025-2-CSC4018-4-BMC-01\img\plants\image_00001.jpg,77,class_077,test,passion flower
2,image_00002.jpg,\\pub.mme.dongguk.edu\home\2019113634\Documents\GitHub\2025-2-CSC4018-4-BMC-01\img\plants\image_00002.jpg,77,class_077,test,passion flower
3,image_00003.jpg,\\pub.mme.dongguk.edu\home\2019113634\Documents\GitHub\2025-2-CSC4018-4-BMC-01\img\plants\image_00003.jpg,77,class_077,test,passion flower
4,image_00004.jpg,\\pub.mme.dongguk.edu\home\2019113634\Documents\GitHub\2025-2-CSC4018-4-BMC-01\img\plants\image_00004.jpg,77,class_077,test,passion flower
5,image_00005.jpg,\\pub.mme.dongguk.edu\home\2019113634\Documents\GitHub\2025-2-CSC4018-4-BMC-01\img\plants\image_00005.jpg,77,class_077,test,passion flower
6,image_00006.jpg,\\pub.mme.dongguk.edu\home\2019113634\Documents\GitHub\2025-2-CSC4018-4-BMC-01\img\plants\image_00006.jpg,77,class_077,test,passion flower
7,image_00007.jpg,\\pub.mme.dongguk.edu\home\2019113634\Documents\GitHub\2025-2-CSC4018-4-BMC-01\img\plants\image_00007.jpg,77,class_077,test,passion flower
8,image_00008.jpg,\\pub.mme.dongguk.edu\home\2019113634\Documents\GitHub\2025-2-CSC4018-4-BMC-01\img\plants\image_00008.jpg,77,class_077,test,passion flower
9,image_00009.jpg,\\pub.mme.dongguk.edu\home\2019113634\Documents\GitHub\2025-2-CSC4018-4-BMC-01\img\plants\image_00009.jpg,77,class_077,test,passion flower
10,image_00010.jpg,\\pub.mme.dongguk.edu\home\2019113634\Documents\GitHub\2025-2-CSC4018-4-BMC-01\img\plants\image_00010.jpg,77,class_077,test,passion flower
11,image_00011.jpg,\\pub.mme.dongguk.edu\home\2019113634\Documents\GitHub\2025-2-CSC4018-4-BMC-01\img\plants\image_00011.jpg,77,class_077,test,passion flower
12,image_00012.jpg,\\pub.mme.dongguk.edu\home\2019113634\Documents\GitHub\2025-2-CSC4018-4-BMC-01\img\plants\image_00012.jpg,77,class_077,test,passion flower
13,image_00013.jpg,\\pub.mme.dongguk.edu\home\2019113634\Documents\GitHub\2025-2-CSC4018-4-BMC-01\img\plants\image_00013.jpg,77,class_077,test,passion flower
14,image_00014.jpg,\\pub.mme.dongguk.edu\home\2019113634\Documents\GitHub\2025-2-CSC4018-4-BMC-01\img\plants\image_00014.jpg,77,class_077,test,passion flower
15,image_00015.jpg,\\pub.mme.dongguk.edu\home\2019113634\Documents\GitHub\2025-2-CSC4018-4-BMC-01\img\plants\image_00015.jpg,77,class_077,test,passion flower
16,image_00016.jpg,\\pub.mme.dongguk.edu\home\2019113634\Documents\GitHub\2025-2-CSC4018-4-BMC-01\img\plants\image_00016.jpg,77,class_077,test,passion flower
17,image_00017.jpg,\\pub.mme.dongguk.edu\home\2019113634\Documents\GitHub\2025-2-CSC4018-4-BMC-01\img\plants\image_00017.jpg,77,class_077,val,passion flower
18,image_00018.jpg,\\pub.mme.dongguk.edu\home\2019113634\Documents\GitHub\2025-2-CSC4018-4-BMC-01\img\plants\image_00018.jpg,77,class_077,test,passion flower
19,image_00019.jpg,\\pub.mme.dongguk.edu\home\2019113634\Documents\GitHub\2025-2-CSC4018-4-BMC-01\img\plants\image_00019.jpg,77,class_077,test,passion flower
20,image_00020.jpg,\\pub.mme.dongguk.edu\home\2019113634\Documents\GitHub\2025-2-CSC4018-4-BMC-01\img\plants\image_00020.jpg,77,class_077,test,passion flower
